fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
30,80,6,30,73,6,0,0,2,-31.1,4,37,269,-25.3,5,45,269,-15.8,90,16,243,-12.8,44,14,256,-20.8,8,40,275,-4.6,4,27,289,-8,-10,85.51,90,3,30.27,6.21,0,7000,10000,10000
30,90,0,20,60,9,0,0,2,-31,22,36,285,-26.1,13,38,274,-18.6,79,15,273,-15.6,17,20,288,-22.8,16,36,282,-7.5,14,17,306,-1,-3,86.28,310,4,30.15,4.35,0,300,3000,4500
35,50,0,30,70,6,0,0,1,-30.4,12,10,301,-30.8,11,10,318,-17.5,12,13,315,-13.7,11,10,2,-18.9,12,40,310,-6.3,15,16,311,-5,-7,85.85,170,2,30.18,6.21,0,2000,10000,10000
20,65,0,30,60,0,0,0,1,-23.2,94,34,270,-23.9,15,27,269,-11.7,88,19,279,-6.3,27,21,281,-19,77,50,277,-2.7,98,22,275,-7,-10,79.16,160,3,30.39,6.21,0,400,10000,10000
50,65,6,40,70,6,0,0,2,-25.2,13,41,282,-22.4,60,41,272,-18.4,16,20,272,-10.1,38,19,266,-15.2,12,47,278,-5.1,54,14,289,4,-3,60.29,160,7,29.94,6.21,0,3500,5000,10000
25,50,0,25,45,0,0,0,2,-29.7,62,28,282,-28.6,69,24,276,-18,27,15,290,-11.3,4,17,290,-18.9,15,37,288,-4.8,14,20,290,-1,-6,68.83,340,8,30.06,6.21,0,1500,3500,10000
25,80,6,25,90,6,0,0,2,-24.6,51,48,285,-22.9,31,44,286,-16.3,23,19,269,-16,80,19,297,-17.4,42,35,274,-5.2,9,15,270,-6,-9,79.31,0,2,30.12,6.21,0,4000,10000,10000
45,65,6,40,70,6,0,0,2,-32,13,39,270,-23.9,30,53,265,-16,95,16,242,-11.6,42,20,273,-16,43,44,278,-6.4,19,27,296,-1,-7,63.75,0,6,30,6.21,0,5000,10000,10000
35,110,9,35,90,9,0,1,3,-24.7,2,30,298,-23.6,3,36,303,-9.8,12,18,307,-9.7,11,18,316,-13.4,81,37,280,-4.2,3,10,278,-3,-6,79.77,340,9,30.09,5.59,0,1000,4000,5000
25,60,6,30,65,0,0,0,1,-24.8,28,40,283,-21.6,10,35,282,-13.4,96,15,275,-8.4,63,26,291,-16.9,10,39,283,-0.3,27,21,281,-8,-10,85.51,350,3,30.12,6.21,0,6000,15000,10000
35,85,0,30,70,0,0,0,2,-22.6,47,32,285,-23,45,31,285,-10.7,20,11,306,-9.4,15,17,308,-16.5,90,43,262,-2.5,71,20,274,-4,-6,85.96,0,1,30.06,6.21,0,800,2000,3000
25,65,6,15,60,6,0,0,2,-26.9,13,21,273,-23.6,86,27,270,-12.6,34,6,273,-10.6,87,6,227,-18.5,18,38,281,-2,11,17,289,-4,-5,92.74,350,3,30.12,6.21,0,4500,18000,10000
15,55,6,20,55,6,0,0,1,-31.9,24,11,303,-30.5,14,19,297,-14.5,14,10,289,-14.1,68,13,281,-22.2,5,26,291,-9,31,11,301,-2,-5,79.92,0,1,30.06,6.21,0,2500,10000,10000
20,25,0,20,30,0,0,0,1,-27.1,5,21,321,-27.7,6,31,331,-12.5,19,4,313,-13.8,31,5,304,-21.7,34,23,261,-4.4,4,9,251,-2,-5,79.92,0,2,30.15,6.21,0,2500,10000,10000
30,40,0,40,55,0,0,0,1,-24.7,4,37,263,-23.7,6,40,269,-14.1,82,20,248,-8.1,62,23,251,-19.8,35,29,263,-6.9,32,21,279,1,-6,59.53,160,15,30.09,6.21,0,4000,6000,10000
30,70,0,15,65,0,0,0,3,-27.2,50,32,273,-24.7,33,37,274,-15.5,9,16,275,-14,100,14,245,-18.2,40,46,272,-8.9,54,19,284,1,-2,80.36,320,8,29.88,6.21,0,1000,4000,7000
30,70,6,35,70,6,0,0,2,-32.7,27,33,284,-26.6,7,36,258,-16.7,30,27,284,-13.8,56,24,289,-30.3,9,24,286,-12.9,18,14,315,-4,-8,73.7,0,4,29.83,6.21,0,6000,10000,10000
35,45,0,40,50,0,0,0,1,-29.9,28,38,304,-29,17,35,303,-15.1,12,23,301,-12.1,16,24,304,-17.7,40,39,291,-5.2,24,20,296,-4,-7,79.62,190,2,30,6.21,0,3000,10000,10000
45,75,0,40,70,0,0,0,2,-21.7,88,40,271,-20.1,72,43,281,-8.7,9,17,274,-7.3,10,21,285,-15.3,32,44,269,-6.3,96,22,271,-4,-8,73.7,0,2,30.15,6.21,0,5000,10000,10000
60,90,6,60,85,0,0,0,2,-28.8,4,41,267,-20.5,7,65,267,-19.8,13,25,266,-10.9,48,18,279,-20.7,32,45,270,-8,16,27,293,3,-1,74.98,150,16,29.77,6.21,0,2000,4000,5000
