mod_turb,fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
x,50,110,12,60,105,12,1,1,4,-36.8,8,35,248,-22.3,3,55,250,-19.9,76,27,245,-11.5,38,19,252,-24.8,2,61,278,-20.4,38,35,259,-1,-7,63.75,180,13,29.83,6.21,0,3000,4000,5000
x,60,100,9,50,115,9,0,1,3,-31,15,50,275,-26.4,11,46,265,-21.8,77,25,248,-15.3,52,23,266,-27.6,28,46,284,-17,95,21,291,-2,-7,68.61,0,3,29.71,6.21,0,1500,4000,5000
x,50,100,6,65,115,9,0,1,3,-30.4,77,22,226,-20.7,86,25,229,-13.1,66,8,258,-6.4,97,20,156,-25.9,1,41,282,-12.7,55,23,285,1,-2,80.36,160,16,29.62,5.59,0,1000,2000,3000
x,20,40,0,25,30,6,0,0,1,-14.3,26,25,229,-12.2,6,15,238,5.6,12,9,220,7.9,7,9,241,-7.6,93,20,280,6.4,1,16,207,18,14,77.45,150,14,30.12,6.21,0,1800,12000,14000
x,15,30,0,15,20,0,0,0,1,-8.7,25,22,279,-7.6,97,18,267,5.6,92,11,232,5.2,100,13,256,-7.3,32,16,272,9,100,9,247,16,15,93.79,0,2,29.88,5.59,0,300,500,1000
x,30,60,0,25,55,0,0,0,2,-9,64,34,263,-6.2,19,24,268,3.3,1,16,269,3.5,52,15,251,-6.9,49,29,259,6.5,47,16,283,12,9,81.87,350,9,30.12,6.21,0,1500,2500,3500
x,20,20,0,15,25,0,0,0,0,-14.6,12,32,281,-11.2,5,29,274,-1.7,1,16,312,2.7,6,16,291,-12,1,21,288,4.8,6,11,321,8,6,87.19,0,1,30.36,6.21,0,2000,10000,10000
x,15,40,12,20,45,9,0,0,0,-13.7,1,9,287,-13.7,27,12,280,3.3,15,4,285,3.8,22,9,345,-12.8,94,17,205,5,2,7,190,11,9,87.47,0,1,30.39,6.21,0,800,15000,10000
x,25,25,0,15,30,0,0,0,1,-10.7,93,23,246,-8,99,21,235,4.5,78,8,263,1.6,97,9,215,-7.2,34,24,241,6.1,100,10,240,12,12,100,0,0,30.18,5.59,0,300,500,1500
x,5,10,0,5,20,0,0,0,1,-11.4,3,17,332,-13.9,63,16,237,4.8,44,6,330,5.6,87,8,251,-8.4,1,14,340,7.3,31,4,340,17,14,82.5,60,3,30.3,6.21,0,500,1300,3000
x,10,30,0,15,30,0,0,0,1,-7.1,11,18,299,-8.7,8,16,324,8.8,1,8,241,8.6,5,2,300,-5.2,2,10,272,11.8,10,7,295,19,16,82.74,0,1,30.27,6.21,0,2000,10000,10000
x,10,30,0,25,25,0,0,0,1,-5.4,45,20,278,-5.4,33,16,281,5.3,94,17,286,7.7,77,12,296,-4.7,3,14,280,10.4,56,11,289,18,15,82.62,0,1,30.15,6.21,0,1500,10000,10000
x,25,50,0,20,55,6,0,0,1,-7.4,85,37,266,-8,40,21,258,5.6,97,19,257,8.3,52,23,257,-7.9,72,26,252,6.7,86,12,270,19,16,82.74,360,5,30.03,5.59,0,1000,1500,7000
